secondary_sample_accession	fastq_ftp	sample_title
SRS1159285	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/001/SRR2920501/SRR2920501_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/001/SRR2920501/SRR2920501_2.fastq.gz	Donor2596-CMP-4B-150303
SRS1159284	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/002/SRR2920502/SRR2920502_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/002/SRR2920502/SRR2920502_2.fastq.gz	Donor2596-Erythroblast-15A-150303
SRS1159283	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/003/SRR2920503/SRR2920503_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/003/SRR2920503/SRR2920503_2.fastq.gz	Donor2596-Erythroblast-15B-150303
SRS1159282	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/004/SRR2920504/SRR2920504_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/004/SRR2920504/SRR2920504_2.fastq.gz	Donor2596-Erythroblast-15C-150303
SRS1159280	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/005/SRR2920505/SRR2920505_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/005/SRR2920505/SRR2920505_2.fastq.gz	Donor2596-GMP-5A-150303
SRS1159281	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/006/SRR2920506/SRR2920506_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/006/SRR2920506/SRR2920506_2.fastq.gz	Donor2596-HSC-1A-150303
SRS1159279	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/007/SRR2920507/SRR2920507_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/007/SRR2920507/SRR2920507_2.fastq.gz	Donor2596-HSC-1B-150303
SRS1159278	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/008/SRR2920508/SRR2920508_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/008/SRR2920508/SRR2920508_2.fastq.gz	Donor2596-MEP-6A-150303
SRS1159277	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/009/SRR2920509/SRR2920509_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/009/SRR2920509/SRR2920509_2.fastq.gz	Donor2596-MPP-2A-150303
SRS1159276	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/000/SRR2920510/SRR2920510_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/000/SRR2920510/SRR2920510_2.fastq.gz	Donor2596-MPP-2B-150303
SRS1159275	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/001/SRR2920511/SRR2920511_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/001/SRR2920511/SRR2920511_2.fastq.gz	Donor2596-NK-11B-150303
SRS1159274	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/002/SRR2920512/SRR2920512_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/002/SRR2920512/SRR2920512_2.fastq.gz	Donor2596-Nkcell-11A-150303
SRS1159273	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/003/SRR2920513/SRR2920513_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/003/SRR2920513/SRR2920513_2.fastq.gz	Donor4983-Bcell-13A-150120
SRS1159272	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/004/SRR2920514/SRR2920514_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/004/SRR2920514/SRR2920514_2.fastq.gz	Donor4983-CD4-9A-150120
SRS1159271	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/005/SRR2920515/SRR2920515_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/005/SRR2920515/SRR2920515_2.fastq.gz	Donor4983-CD8-10A-150120
SRS1159269	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/006/SRR2920516/SRR2920516_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/006/SRR2920516/SRR2920516_2.fastq.gz	Donor4983-Nkcell-11A-150120
